,0,1,2,3,4,5,6
221,2874,0.714752222,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
222,2888,0.718097214,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
223,2895,0.719601413,10.0.0.8,10.0.0.12,UDP,154,45397 → 28866 Len=112
224,2897,0.720448941,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
225,2909,0.724002010,10.0.0.10,10.0.0.11,UDP,1031,37053 → 28866 Len=989
226,2930,0.729150862,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
227,2943,0.732690318,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
228,2978,0.742578810,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
229,2992,0.746890318,10.0.0.8,10.0.0.14,UDP,567,45397 → 28866 Len=525
230,2994,0.746963111,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
231,3002,0.749130755,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
232,3007,0.750957471,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
233,3022,0.754414044,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
234,3025,0.755658476,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
235,3032,0.757640973,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
236,3046,0.761974252,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
237,3062,0.766622564,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
238,3080,0.772191446,10.0.0.10,10.0.0.14,UDP,182,37053 → 28866 Len=140
239,3091,0.776004517,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
240,3097,0.777152667,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
241,3105,0.779655119,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
242,3114,0.782336179,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
243,3137,0.789386334,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
244,3147,0.791431471,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
245,3177,0.799397557,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
246,3183,0.800782444,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
247,3186,0.803610562,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
248,3192,0.804721405,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
249,3215,0.810866861,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
250,3220,0.812027315,10.0.0.10,10.0.0.13,UDP,167,37053 → 28866 Len=125
251,3226,0.813601739,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
252,3235,0.815714407,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
253,3242,0.818416659,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
